,Origin,Destination,ShortName,TimeRetr,Route,Dist,CurrentTime,TimeRange,url,nDist,nTime
4,1,20,BF_DR,2015-08-15 15:59:48.077443,I-94 Express E and I-94 E,19.3 miles,25 min,22 - 32 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.7288158,-87.6316115,9150m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.6205962!2d41.7134918!3s0x880e267580b00071:0xb24b6ab1f9e7db25!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",19.3,25
22,1,20,Sky,2015-08-15 15:59:54.564598,I-90 E,17.9 miles,28 min,26 - 33 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.634653,-87.5369446,30751m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5973557!2d41.7580106!3s0x880e28ea5e2fd8a3:0xd7bc1e2354b6c623!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",17.9,28
40,1,20,LS,2015-08-15 16:00:01.309572,US-41 S and S Torrence Ave,16.1 miles,35 min,31 - 40 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.74826,-87.5629275,2288m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5662692!2d41.7538237!3s0x880e2869d0ebc8a9:0x353d4a64efc0dfe2!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!2m1!1b1!3e0",16.1,35
85,1,21,LS,2015-08-15 16:00:17.861208,US-41 S and I-90 E,31.8 miles,58 min,53 min - 1 h 10 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6764132,-87.4918223,10894m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5414215!2d41.7274896!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.5085316!2d41.68693!3s0x8811d8fa42e0f29f:0x1d6452cd8e4a360!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",31.8,58
118,1,21,BF_DR,2015-08-15 16:00:30.263910,I-94 E,36.8 miles,42 min,39 - 50 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.7133749,-87.5948031,10900m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5928117!2d41.7025615!3s0x880e265b77c47ec7:0xbfe801e794ffcf1e!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",36.8,42
135,1,21,Sky,2015-08-15 16:00:36.428975,I-90 E,32.5 miles,41 min,39 - 48 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6450106,-87.3940989,30802m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5218899!2d41.6730745!3s0x8811d8bfd249459f:0x4a0c9f600c0f8f03!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",32.5,41
9,1,22,LS,2015-08-15 15:59:49.890976,US-41 S,29.6 miles,1 h,55 min - 1 h 12 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6137291,-87.4909993,15407m/data=!3m1!1e3!4m29!4m28!1m20!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.540285!2d41.7332424!3s0x880e27ff9277de7f:0x7d0a48378c03e2d3!3m4!1m2!1d-87.5086225!2d41.6666688!3s0x8811d8daea9725c7:0x188c31d4a227606c!3m4!1m2!1d-87.433747!2d41.6384644!3s0x8811dc6ec146d873:0x5b0f756e8b5c0596!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",29.6,60
23,1,22,BF_DR,2015-08-15 15:59:54.914536,I-80 W/I-94 W and I-94 W,41.1 miles,47 min,45 min - 1 h 4 min,"https://www.google.com/maps/dir/598+E+Dunes+Hwy,+Gary,+IN+46402/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6296208,-87.553508,18415m/am=t/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3m4!1m2!1d-87.5830917!2d41.6040481!3s0x880e21b3cf205f3d:0x34f74d26c8c045ca!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0",41.1,47
80,1,22,Sky,2015-08-15 16:00:15.998276,I-90 E,30.3 miles,35 min,33 - 40 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.7183623,-87.6285313,43560m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5212908!2d41.671367!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",30.3,35
43,1,23,Sky,2015-08-15 16:00:02.466227,I-90 E,23.7 miles,35 min,33 - 43 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7007728,-87.5396113,21747m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5275249!2d41.7057664!3s0x8811d86fa1c5a6b1:0xb969c47b14cd3f23!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0",23.7,35
81,1,23,BF_DR,2015-08-15 16:00:16.315419,I-94 E,25.3 miles,41 min,36 - 50 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6258035,-87.5629628,15388m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5908895!2d41.6622953!3s0x880e26ce69ded745:0x1a62515ef573822b!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",25.3,41
